DateTime,Entries,UniqueIPs
1557960280,1947,1947
1557962203,2708,2708
1557964105,3676,3676
1557966016,4467,4467
1557967952,4762,4762
1557969995,4768,4768
1557972026,4768,4768
1557973943,4768,4768
1557975860,4779,4779
1557977783,4838,4838
1557979697,4836,4836
1557981641,4852,4852
1557983543,4899,4899
1557985458,4899,4899
1557987409,4865,4865
1557989306,4844,4844
1557991479,4853,4853
1557993397,4850,4850
1557995325,5219,5219
1557997244,5907,5907
1557999383,6518,6518
1558001568,6804,6804
1558003484,6821,6821
1558005375,6820,6820
1558007322,6838,6838
1558009264,7278,7278
1558011137,7848,7848
1558013057,8355,8355
1558015014,8922,8922
1558016933,9201,9201
1558019818,9609,9609
1558022962,10333,10333
1558024825,10328,10328
1558026735,10327,10327
1558028654,10325,10325
1558030585,10321,10321
1558032494,10319,10319
1558034411,10320,10320
1558036340,10317,10317
1558038255,10305,10305
1558040195,10157,10157
1558042106,10072,10072
1558044046,10090,10090
1558045951,10038,10038
1558047908,9113,9113
1558049772,8282,8282
1558051730,7377,7377
1558053613,6887,6887
1558055563,6895,6895
1558057450,6906,6906
1558059375,6924,6924
1558061305,6955,6955
1558063208,7052,7052
1558065130,7422,7422
1558067062,7420,7420
1558068997,7409,7409
1558070897,7392,7392
1558072835,7394,7394
1558074736,7397,7397
1558076701,7515,7515
1558078569,7539,7539
1558080764,7545,7545
1558082665,7549,7549
1558084599,7545,7545
1558086493,7544,7544
1558088415,7547,7547
1558090369,7537,7537
1558092251,7539,7539
1558094171,7534,7534
1558096097,7513,7513
1558098040,7509,7509
1558099934,7508,7508
1558101819,7504,7504
1558103769,7464,7464
1558105698,7330,7330
1558107784,6325,6325
1558109786,6324,6324
1558111728,6320,6320
1558113861,6315,6315
1558115768,6323,6323
1558117691,6322,6322
1558120600,6351,6351
1558122502,6354,6354
1558124432,6353,6353
1558126347,6421,6421
1558128466,6843,6843
1558130451,7057,7057
1558133833,7104,7104
1558135798,7098,7098
1558137889,7074,7074
1558139790,7050,7050
1558141720,7039,7039
1558143862,7014,7014
1558145788,7004,7004
1558148188,6991,6991
1558150098,6982,6982
1558152273,6981,6981
1558154421,6965,6965
1558156586,6964,6964
1558158523,6961,6961
1558160457,6869,6869
1558162546,6797,6797
1558164491,6690,6690
1558166448,6681,6681
1558168341,6681,6681
1558170295,6679,6679
1558172180,6681,6681
1558174114,6677,6677
1558176023,6677,6677
1558177950,6305,6305
1558179874,5981,5981
