DateTime,AddedIPs,RemovedIPs
1558117705,2,1
1558119735,1,1
1558123752,0,2
1558127561,1,1
1558129465,2,1
1558131510,0,1
1558133848,1,3
1558135816,3,2
1558137915,5,4
1558139803,0,2
1558141745,3,2
1558143877,1,1
1558145819,2,0
1558148202,0,2
1558150114,1,0
1558152294,2,1
1558154434,3,1
1558156615,0,7
1558158554,1,2
1558160474,3,3
1558162560,0,1
1558164505,0,3
1558166582,2,2
1558168605,5,0
1558170514,1,0
1558172427,2,0
1558174345,4,0
1558176296,1,1
1558178179,1,3
1558180097,3,1
1558182049,0,2
1558183975,6,2
1558185857,5,0
1558187783,4,2
1558189738,1,2
1558191754,1,3
1558193795,1,5
1558195964,0,50
1558197907,0,27
1558199786,3,2
1558201713,4,18
1558203648,2,3
1558205546,1,1
1558207465,2,1
1558211300,3,0
1558213342,3,0
1558215169,4,1
1558217064,2,2
1558219007,1,5
1558220940,0,3
1558222817,0,3
1558224742,0,3
1558228585,0,3
1558230495,1,1
1558232435,1,1
1558234343,1,0
1558238202,0,3
1558240112,1,1
1558243962,0,3
1558245889,1,2
1558247782,1,3
1558249719,0,4
1558253543,0,4
1558255465,1,2
1558257404,0,3
1558259314,3,1
1558261237,7,4
1558263148,0,2
1558265057,3,1
1558267003,1,4
1558268913,195,1
1558270871,3,6
1558272759,0,7
1558274691,1,5
1558276575,2,0
1558278778,0,1
1558280666,1,1
1558284498,1,1
1558286430,0,5
1558288470,79,2
1558290273,1545,2
1558292183,2938,3
1558294120,2450,2
1558296092,1524,0
1558297954,1,1
1558299895,0,1
1558301777,5,1
1558303732,2,1
1558305620,4,0
1558307536,0,4
1558309483,3,1
1558311672,1,0
1558317393,1,1
1558319299,1,0
1558321256,1,1
1558325158,2,1
1558328926,1,0
1558330813,1,0
1558332745,0,1
1558334676,1,0
1558336572,2,0
1558338496,2,0
1558344275,1,0
1558346177,10,1
1558348354,4,2
1558350306,2,3
1558352423,2,0
1558354359,1,51
1558356274,3,38
1558358177,0,1
1558360123,3,2
1558361936,0,2
1558363947,2,4
1558365860,10,2
1558367790,2,1
1558371893,1,1
1558373792,1,1
1558375594,3,327
1558377649,1,2894
1558379540,2,2261
1558381474,6,3157
1558383386,2,5
1558385301,1,2
1558387238,1,1
1558389138,2,1
1558391055,3,2
1558392990,1,4
1558394908,1,2
1558396832,1,1
1558398755,2,2
1558400697,1,0
1558402571,1,0
1558404746,0,3
1558406675,1,0
1558408608,2,2
1558410501,0,1
1558412456,1,0
1558414346,1,0
1558416260,3,1
1558418196,0,1
1558420116,2,0
1558422105,1,3
1558423947,1,0
1558425894,4,1
1558427795,1,0
1558429703,0,3
1558431636,0,1
1558433549,2,1
