DateTime,AddedIPs,RemovedIPs
1557804053,481,0
1557806342,66,72
1557816993,102,58
1557817485,454,495
1557819159,565,0
1557823244,626,0
1557826368,576,0
1557829965,596,0
1557834262,598,0
1557837397,658,0
1557841476,643,0
1557844595,588,0
1557848441,586,0
1557852276,595,0
1557855876,653,0
1557859472,595,0
1557863790,572,0
1557867651,580,0
1557871216,1405,1345
1557872441,608,0
1557878170,18,35
1557879131,580,0
1557882029,23,20
1557883719,573,548
1557885846,19,0
1557888764,565,0
1557892578,585,0
1557892742,68,39
1557900282,0,551
1557910823,0,2223
1557915395,0,1126
1557948252,0,5693
1557951369,0,532
1557954015,1144,1911
1557959778,0,1157
1557962651,12,42
1557968927,0,1616
1557970339,11,26
1557974166,20,28
1557977313,0,1668
1557979142,92,72
1557990510,0,3243
1557992672,0,577
1557998923,605,1601
1558003479,664,554
1558007780,650,1107
1558012131,662,1075
1558016445,623,0
1558020434,654,0
1558024820,607,577
1558035134,632,1145
1558038759,634,570
1558040415,1157,1684
1558042357,675,543
1558045946,573,1097
1558050969,17,27
1558051725,576,556
1558054831,18,0
1558056285,597,1114
1558058660,20,0
1558061767,627,0
1558065648,649,1101
1558068993,639,643
1558073084,593,1082
1558077405,597,0
1558080981,625,0
1558083893,603,0
1558091084,607,0
1558101160,630,0
1558106916,618,0
1558111238,640,0
1558116033,613,0
1558119670,579,0
1558123236,605,0
1558126591,577,0
1558126817,983,1531
1558136373,29,0
1558139077,623,0
1558140247,20,14
1558141097,566,526
1558147570,633,1082
1558148134,24,17
1558151797,621,0
1558151942,67,78
1558156118,590,530
1558160912,598,1061
1558164028,584,870
1558167609,586,1063
1558171460,587,0
1558175552,597,567
1558179159,588,556
1558182520,594,557
1558186119,600,549
1558189715,578,1088
1558194513,605,570
1558201708,564,1094
1558205071,594,553
1558208674,560,1102
1558212271,637,0
1558213216,911,1793
1558217565,568,1097
1558221372,25,39
1558223072,577,532
1558229052,21,34
1558230751,638,1116
1558232883,14,16
1558234590,580,0
1558238342,54,59
1558240603,594,0
1558243954,581,0
1558248276,611,0
1558251168,558,0
1558254251,578,547
1558258119,614,574
1558261724,589,546
1558266272,640,557
1558274186,604,582
1558279470,645,1158
1558283540,572,0
1558299615,689,1729
1558309934,26,57
1558310657,630,1110
1558313767,15,0
1558318122,590,0
1558321693,18,21
1558322896,592,0
1558324742,93,62
1558329138,576,0
1558333464,599,0
1558336831,623,0
1558340427,572,0
1558344996,587,0
1558347874,623,0
1558351961,604,0
1558378861,618,0
1558379776,375,0
1558383635,601,0
1558386015,1028,1525
1558389388,602,953
1558392276,598,551
1558395129,37,3
1558398050,620,553
1558402808,17,21
1558404284,589,553
1558406651,21,2
1558409060,645,0
1558411142,53,68
1558413889,578,564
1558419391,593,552
1558423707,633,0
1558428756,613,567
1558432826,586,0
