DateTime,Entries,UniqueIPs
1557414511,6131,6316
1557416406,6137,6323
1557418580,6148,6335
1557420491,6157,6342
1557422443,6163,6348
1557424326,6173,6357
1557426492,6155,6339
1557428416,6170,6354
1557430353,6166,6350
1557432256,6164,6347
1557434190,6170,6352
1557436125,6169,6351
1557438013,6180,6362
1557439935,6194,6376
1557442607,6195,6377
1557444513,6195,6376
1557446433,6215,6397
1557448338,6203,6385
1557450277,6206,6388
1557452175,6214,6396
1557454122,6212,6393
1557456014,6216,6397
1557458184,6213,6394
1557460122,6215,6395
1557462023,6210,6390
1557463932,6208,6388
1557465855,6198,6378
1557467770,6191,6371
1557469711,6182,6362
1557471655,6174,6354
1557473557,6168,6348
1557475457,6170,6348
1557477378,6158,6337
1557479313,6181,6360
1557481236,6173,6351
1557483137,6165,6344
1557485057,6175,6357
1557487234,6159,6342
1557489157,6151,6336
1557491052,6161,6346
1557492993,6142,6328
1557494890,6152,6341
1557496815,6154,6344
1557498735,6175,6365
1557500685,6167,6358
1557502610,6160,6350
1557504526,6150,6343
1557506439,6165,6359
1557508334,6181,6375
1557510251,6179,6373
1557512176,6185,6378
1557514093,6183,6377
1557516024,6192,6386
1557517957,6197,6391
1557519852,6201,6395
1557521820,6212,6407
1557523691,6213,6407
1557525625,6219,6413
1557528784,6216,6410
1557530682,6221,6415
1557532597,6218,6411
1557534492,6221,6414
1557536442,6231,6424
1557538361,6226,6416
1557540267,6226,6415
1557542202,6229,6419
1557544117,6234,6424
1557546019,6243,6433
1557547949,6250,6440
1557549854,6262,6451
1557551779,6262,6451
1557553695,6258,6446
1557555624,6260,6448
1557557535,6263,6449
1557559458,6263,6449
1557561370,6262,6448
1557563294,6256,6442
1557565232,6263,6449
1557567389,6265,6451
1557569314,6277,6463
1557571236,6276,6462
1557573142,6279,6464
1557575063,6279,6464
1557578898,6257,6441
1557580701,6258,6444
1557582738,6259,6446
1557584655,6256,6443
1557586577,6255,6442
1557588493,6261,6449
1557590460,6267,6454
1557594268,6260,6447
1557596174,6254,6441
1557598097,6251,6440
1557600258,6253,6442
1557602179,6249,6438
1557604095,6250,6438
1557606026,6249,6437
1557607933,6253,6441
1557609862,6255,6443
1557611773,6275,6463
1557613695,6283,6471
1557615634,6280,6468
1557617542,6288,6477
1557619463,6282,6471
1557621378,6295,6484
1557625257,6267,6456
1557627145,6270,6459
1557629059,6275,6464
1557630977,6276,6465
1557632898,6272,6461
1557634817,6278,6466
1557636735,6278,6466
1557638656,6276,6461
1557642754,6261,6447
1557644661,6260,6446
1557646822,6256,6440
1557648740,6253,6438
1557650676,6255,6440
1557652577,6252,6437
1557654498,6252,6437
1557656439,6259,6445
1557658361,6266,6452
1557660255,6267,6453
1557662174,6271,6457
1557664115,6277,6463
1557666036,6286,6472
1557667948,6280,6466
1557670126,6277,6463
1557672039,6273,6458
1557673936,6269,6454
1557675875,6266,6451
1557677809,6263,6448
1557679720,6270,6455
1557681622,6271,6456
1557683533,6254,6438
1557685466,6239,6423
1557687576,6244,6429
1557689559,6236,6421
1557691721,6203,6388
1557693612,6220,6405
1557695787,6197,6382
1557697697,6214,6399
1557699637,6219,6404
1557701551,6236,6421
1557703496,6237,6422
1557705372,6232,6417
1557707302,6236,6421
1557709242,6232,6416
1557711163,6235,6420
1557713058,6231,6416
1557714998,6227,6412
1557719075,6208,6393
1557720999,6216,6401
1557722897,6219,6404
1557724821,6225,6410
1557726732,6221,6406
1557728654,6227,6413
1557730571,6244,6432
1557732491,6245,6435
1557734468,6251,6440
1557736593,6258,6446
1557738502,6258,6446
1557740432,6263,6451
1557742344,6273,6461
1557744278,6278,6467
1557746196,6286,6475
1557748095,6284,6474
1557750041,6287,6476
1557751931,6281,6468
1557753860,6280,6467
1557756096,6275,6462
1557758109,6274,6461
1557760344,6264,6451
1557762248,6258,6445
1557764195,6238,6425
1557766091,6230,6417
1557768032,6232,6419
1557769954,6231,6418
1557771877,6227,6414
1557773768,6245,6432
1557775686,6251,6439
1557777623,6259,6449
1557779561,6267,6457
1557781458,6281,6470
1557783379,6287,6476
1557785313,6285,6474
1557787234,6290,6480
1557789132,6292,6482
1557791048,6289,6476
1557792969,6283,6470
1557794888,6277,6464
1557796805,6284,6471
1557798751,6301,6488
1557800647,6304,6491
1557802565,6298,6485
1557804515,6299,6486
1557806438,6298,6484
1557808359,6308,6494
1557810276,6313,6499
1557812169,6316,6502
1557814092,6310,6497
1557816033,6312,6499
1557817960,6307,6494
1557819871,6317,6504
1557821795,6318,6505
1557823738,6317,6504
1557827549,6322,6510
